facility_name,facility_phone,facility_address,facility_type,geo_lng,geo_lat
용인대 호랑이태권도장,226473131,서울특별시 강서구 등촌로39길 6 3층 용인대호랑이태권도장(등촌동),태권도,126.8620485,37.5455957
한국자연치유평생교육원,25378877,"서울특별시 서초구 서초대로78길 44 4층 404호(서초동, 서초나산스위트)",요가,127.0284742,37.4938139
용인대 청솔태권도장,23723851,서울특별시 서대문구 증가로24바길 70 2층(북가좌동),태권도,126.9192123,37.5829685
(주) 스포니스마곡점,226685988,서울특별시 강서구 마곡중앙6로 11 지하1층 스포니스 마곡점(마곡동),기타종목,126.8288424,37.560948
용인대 청솔 태권도,23032792,서울특별시 은평구 응암로22길 28-6 5층 용인대 청솔 태권도(응암동),태권도,126.9210758,37.5932885
사단법인 영등포구스포츠클럽,262657330,서울특별시 영등포구 디지털로 413 메리클빌딩 지하1층 (대림동),탁구,126.9041636,37.4934561
용인대 장곡,29179535,서울특별시 성북구 돌곶이로37길 18 2층(장위동),태권도,127.0474853,37.6167468
용인대 우리태권도장,29567713,서울특별시 도봉구 시루봉로 220 4층(방학동),태권도,127.0345244,37.6679206
용인대 엄지태권도,226975060,서울특별시 양천구 오목로 62 3층 용인대엄지태권도(신월동),태권도,126.8444449,37.5223687
사단법인 장애인아카데미,269567228,서울특별시 영등포구 영등포로 143 에이블허브 4층(당산동1가),요가,126.8976604,37.5213577
용인대 석사 태권도장,226472647,서울특별시 양천구 목동중앙본로 97 2층 용인대석사태권도(목동),태권도,126.8705416,37.5444004
이너라인GYM월곡점,,서울특별시 성북구 장월로1길 57 3층 헬스장(상월곡동),헬스,127.045215,37.6059999
용인대 명인 태권도,29772010,서울특별시 노원구 공릉로63길 13 4층 용인대 명안 태권도(하계동),태권도,127.070537,37.6348839
용인대 강 태권도,28590099,서울특별시 관악구 난우길 35 4층(신림동),태권도,126.9176494,37.4758465
용산청소년센터,27490102,서울특별시 용산구 이촌로71길 24 3층 운영사무실(이촌동),수영,126.9732,37.5214167
용산제2체육관,27938874,서울특별시 용산구 장문로6길 101 3층(동빙고동),태권도,126.9965424,37.5259818
용산구문화체육센터,27072492,서울특별시 용산구 백범로 350 문화체육센터(문배동),헬스,126.967681,37.5372185
박원짐,,서울특별시 영등포구 당산로30길 11 지하2층(당산동3가),헬스,126.8979851,37.525596
용두장안태권도,29230656,서울특별시 동대문구 약령시로 18 3층 장안태권도(제기동),태권도,127.0317954,37.5825812
쿰바른재활,299291621,서울특별시 강서구 마곡중앙4로 18 그랑트윈타워 B동 404호(마곡동),기타종목,126.8286198,37.5585262
용광용인대태권도,222442915,서울특별시 동대문구 답십리로66길 99 3층 용광체육관(장안동),태권도,127.0661442,37.5684545
요가힐엔필라테스,29800213,서울특별시 강북구 솔샘로 223 삼미빌딩 3층 요가힐엔필라테스(미아동),요가,127.0175897,37.6202822
요가하는나무,,"서울특별시 강서구 강서로 52 701, 702호(화곡동)",요가,126.8466719,37.5324773
사회복지법인에스알씨스포츠센터,28718232,서울특별시 관악구 보라매로 44 2층 스포츠센터(봉천동),수영,126.9274006,37.4931756
요가프로젝트,,서울특별시 종로구 경희궁2길 9-1 2층 요가프로젝트(내수동),요가,126.9711161,37.572977
1981 골프앤휘트니스,28083838,서울특별시 금천구 시흥대로 399 시티렉스3층(독산동),헬스,126.8970019,37.4693592
사회적협동조합 우리사이공간 서울광진지부,24570610,"서울특별시 광진구 광나루로36길 14 4층 우리사이공간, (구의동)",기타종목,127.0865723,37.544395
사아름드리문화예술원,24262024,서울특별시 강동구 상암로3길 70 1층(암사동),무용(발레 등),127.1278385,37.5534935
사일구짐,29005153,"서울특별시 강북구 삼양로 522 b1, 2F, 3F 301, 302, 303, 304호(우이동)",헬스,127.0138757,37.6495983
요가타운수유교육원,29087118,서울특별시 강북구 도봉로 353 상목빌딩 5층(수유동),요가,127.0264545,37.6391326
한국스포츠교육희망나눔사회적협동조합언남중학교,25787947,서울특별시 서초구 언남길 85 지하(양재동),농구,127.0459789,37.475589
스핀볼링센터 가든5,220473663,서울특별시 송파구 충민로 52 지하1층  스핀볼링센터 가든5(문정동),볼링,127.1225323,37.4776993
구로구발달장애인평생교육센터,226859579,서울특별시 구로구 안양천로 552 / 4-5층 구로구발달장애인평생교육센터(고척동),기타종목,126.8682447,37.4963451
에스핫요가,23845900,서울특별시 은평구 진관3로 37 306호(진관동),요가,126.9204567,37.6404027
구로구시설관리공단 50수영장,220661515,서울특별시 구로구 오류로 36-25 50플러스남부캠퍼스 50플러스 수영장(천왕동),수영,126.8417741,37.4884251
MJGYM,,서울특별시 도봉구 시루봉로 56 한양6차 상가 B2층(쌍문동),종합체육시설,127.028232,37.6558247
max 스포츠,23956330,"서울특별시 종로구 진흥로 480 상가2층(신영동, 대아파크빌)",헬스,126.9604221,37.6054386
요가블리스필라테스,232801588,서울특별시 동작구 현충로 100-1 3층 요가블리스앤필라테스(흑석동),필라테스,126.9647299,37.5076525
mnt태권도 스포츠센터,226515069,서울특별시 양천구 목동남로4길 26 5층 MNT태권도(신정동),태권도,126.8658085,37.5088257
용문체육관,24684684,서울특별시 광진구 면목로 136 2층(중곡동),태권도,127.0811768,37.5654271
요가메이트,226255000,서울특별시 구로구 개봉로 34 2층 요가메이트(개봉동),필라테스,126.8564451,37.4886043
이룸기구필라테스,23057090,서울특별시 서대문구 수색로 20 4층(남가좌동),필라테스,126.9163574,37.5688389
한국당구아카데미,220691734,서울특별시 영등포구 양산로 96 210호(당산동2가),당구,126.8936132,37.5239907
요가나무,,서울특별시 양천구 오목로10길 7-6 2층 요가나무(신월동),요가,126.8446483,37.5217919
장안휘트니스,7081116228,서울특별시 동대문구 답십리로 252 4층 장안휘트니스(장안동),헬스,127.0682309,37.5722491
왕호태권도,28771245,서울특별시 관악구 인헌6길 16 농협2층 왕호태권도(봉천동),태권도,126.9660221,37.4741092
